"שם מוצר","מק""ט",כמות,"יחידת מידה","האם מגיע במארז","צורת מארז","יחידת מידה במארז","מספר פריטים במארז",קטגוריה,ספק,"מחיר מחירון","אחוז הנחה",פיקדון,מיסים,"מוצר חייב במע""מ","צורת ספירת מלאי","ברקוד יצרן","הגבלת כמות להזמנה"
"אורגנו 1 ק""ג",׳7290015543033,1,"ק""ג",לא,,,,"חומרי גלם לבישול","שופרסל אמיגה",16.99,0,0,,כן,מוצר,,0
"אורז תפוח בשקית 500 גרם",8989169,0.5,"ק""ג",כן,מארז,יחידות,10,"חומרי גלם לבישול","שופרסל אמיגה",16.5,0,0,,כן,מארז,,0
"אלף איים גלון 5.1 ק״ג",׳7290112499113,5.1,"ק""ג",כן,מארז,יחידות,1,"חומרי גלם לבישול","שופרסל אמיגה",83,0,0,,כן,מארז,,0
"גלגולי פירה 2 ק״ג",729001819845׳,2,"ק""ג",כן,מארז,יחידות,6,"חומרי גלם לבישול","שופרסל אמיגה",249,0,0,,כן,מארז,,0
"דגש מרק.תיבול מרק פטריות",׳7290100249703,1,"ק""ג",לא,,,,"חומרי גלם לבישול","שופרסל אמיגה",35.5,0,0,,כן,מוצר,,0
"דובדבן אמרנה 2.7 ק""ג",׳7290019079514,2.7,"ק""ג",כן,מארז,יחידות,1,"חומרי גלם לבישול","שופרסל אמיגה",105.99,0,0,,כן,מוצר,,0
"חומץ סינטטי 4 ליטר",507958,4,ליטר,כן,מארז,יחידות,1,"חומרי גלם לבישול","שופרסל אמיגה",6.44,0,0,,כן,מוצר,,0
"חומץ תפוחים 946 מ״ל בקבוק מ.ע",2808527,0.946,ליטר,כן,מארז,יחידות,1,"חומרי גלם לבישול","שופרסל אמיגה",9.99,0,0,,כן,מוצר,,0
"חומצה אצטית מדוללת 5%",׳7290011556112,4,ליטר,כן,מארז,יחידות,1,"חומרי גלם לבישול","שופרסל אמיגה",5.89,0,0,,כן,מוצר,,0
"חרדל אמיתי תלמה 5 קג",111506,5,"ק""ג",לא,מארז,יחידות,1,"חומרי גלם לבישול","שופרסל אמיגה",32,0,0,,כן,מוצר,,0
"חרדל דיזון גרגרים 5 ק״ג",3054350,5,"ק""ג",כן,מארז,יחידות,1,"חומרי גלם לבישול","שופרסל אמיגה",58,0,0,,כן,מוצר,,0
"טמפורה 1 קג",׳807176221013,1,"ק""ג",לא,,,,"חומרי גלם לבישול","שופרסל אמיגה",9.89,0,0,,כן,מוצר,,0
"כמון טחון צנצנת 1 ק״ג",׳811250030132,1,"ק""ג",לא,,,,"חומרי גלם לבישול","שופרסל אמיגה",18.5,0,0,,כן,מוצר,,0
"מיונז אמיגה 5 ק״ג",׳7290018710159,5,"ק""ג",לא,מארז,יחידות,1,"חומרי גלם לבישול","שופרסל אמיגה",46,0,0,,כן,מוצר,,0
"מלח לימון 1 ק""ג",׳7290015543231,1,"ק""ג",לא,,,,"חומרי גלם לבישול","שופרסל אמיגה",9.65,0,0,,כן,מוצר,,0
"מרק בקר 1 ק""ג",162300,1,"ק""ג",לא,,,,"חומרי גלם לבישול","שופרסל אמיגה",41.5,0,0,,כן,מוצר,,0
"מרק דגש טעם עוף ללא גלוט",3805389,1,"ק""ג",לא,,,,"חומרי גלם לבישול","שופרסל אמיגה",12.5,0,0,,כן,מוצר,,0
"סומק 1 ק""ג",׳7290015543255,1,"ק""ג",לא,,,,"חומרי גלם לבישול","שופרסל אמיגה",16,0,0,,כן,מוצר,,0
"פלפל שחור טחון צנצנת 1 ק",׳811250030194,1,"ק""ג",לא,,,,"חומרי גלם לבישול","שופרסל אמיגה",28,0,0,,כן,מוצר,,0
"פנקו סומימוטו קלאסי 1 קג",׳7290015355100,1,"ק""ג",לא,,,,"חומרי גלם לבישול","שופרסל אמיגה",9.89,0,0,,כן,מוצר,,0
"פפריקה מתוקה 1 ק""ג",׳7290015543385׳,1,"ק""ג",לא,,,,"חומרי גלם לבישול","שופרסל אמיגה",12.75,0,0,,כן,מוצר,,0
"פרורי לחם לבנים בשק 10ק",׳7290018710067,10,"ק""ג",כן,מארז,יחידות,1,"חומרי גלם לבישול","שופרסל אמיגה",65.99,0,0,,כן,מוצר,,0
"פרורי לחם מוזהבים שק10ק",׳7290015543859,10,"ק""ג",כן,מארז,יחידות,1,"חומרי גלם לבישול","שופרסל אמיגה",58,0,0,,כן,מוצר,,0
"קטשופ 700 גרם היינץ",8715700419732,0.7,"ק""ג",כן,מארז,יחידות,10,"חומרי גלם לבישול","שופרסל אמיגה",9.79,0,0,,כן,מארז,,0
"קטשופ היינץ וולפק כשל״פ",3450534,13,"ק""ג",לא,מארז,יחידות,1,"חומרי גלם לבישול","שופרסל אמיגה",125,0,0,,כן,מוצר,,0
"קינואה אדומה 5 ק""ג",׳7290019659792,5,"ק""ג",לא,מארז,יחידות,1,"חומרי גלם לבישול","שופרסל אמיגה",65,0,0,,כן,מוצר,,0
"קמח חיטה לבן בהיר 1 ק״ג",׳7296073021568,1,"ק""ג",כן,מארז,יחידות,10,"חומרי גלם לבישול","שופרסל אמיגה",28.9,0,0,,כן,מארז,,0
"קמח תפוח אדמה 500 גרם",1050019,0.5,"ק""ג",לא,מארז,יחידות,1,"חומרי גלם לבישול","שופרסל אמיגה",3.88,0,0,,כן,מוצר,,0
"רוטב בוב הולנדי 4.95 ק""ג",׳8718182023275,4.95,"ק""ג",לא,מארז,יחידות,1,"חומרי גלם לבישול","שופרסל אמיגה",59.89,0,0,,כן,מוצר,,0
"שומשום 1 ק""ג",7290015553858,1,"ק""ג",לא,,,,"חומרי גלם לבישול","שופרסל אמיגה",14.44,0,0,,כן,מוצר,,0
"שקד מולבן פרוס 1 ק״ג",7290015651080,1,"ק""ג",לא,,,,"חומרי גלם לבישול","שופרסל אמיגה",44.5,0,0,,כן,מוצר,,0
"תבלין פילדלפיה 1 ק""ג",7290015543637,1,"ק""ג",לא,,,,"חומרי גלם לבישול","שופרסל אמיגה",18,0,0,,כן,מוצר,,0
"טבסקו סרירצ׳ה 566 מ״ל",11210698055,1,יחידות,כן,מארז,יחידות,6,"חומרי גלם לבישול","שופרסל אמיגה",18.5,0,0,,כן,מארז,,
